JugadorX,JugadorY,ObstaculoX,ObstaculoY,Velocidad,DistanciaX,Izquierda,Quieto,Derecha
275,350,249,0,10,26,0,1,0
275,350,249,10,10,26,0,1,0
275,350,249,20,10,26,0,1,0
275,350,249,30,10,26,0,1,0
275,350,249,40,10,26,0,1,0
275,350,249,50,10,26,0,1,0
275,350,249,60,10,26,0,1,0
275,350,249,70,10,26,0,1,0
275,350,249,80,10,26,0,1,0
275,350,249,90,10,26,0,1,0
275,350,249,100,10,26,0,1,0
275,350,249,110,10,26,0,1,0
275,350,249,120,10,26,0,1,0
275,350,249,130,10,26,0,1,0
275,350,249,140,10,26,0,1,0
275,350,249,150,10,26,0,1,0
275,350,249,160,10,26,0,1,0
275,350,249,170,10,26,0,1,0
275,350,249,180,10,26,0,1,0
275,350,249,190,10,26,0,1,0
275,350,249,200,10,26,0,1,0
275,350,249,210,10,26,0,1,0
275,350,249,220,10,26,0,1,0
275,350,249,230,10,26,0,1,0
275,350,249,240,10,26,0,1,0
275,350,249,250,10,26,0,1,0
275,350,249,260,10,26,0,1,0
275,350,249,270,10,26,0,1,0
275,350,249,280,10,26,0,1,0
275,350,249,290,10,26,0,1,0
275,350,249,300,10,26,0,1,0
275,350,199,0,10,76,0,1,0
275,350,199,10,10,76,0,1,0
275,350,199,20,10,76,0,1,0
275,350,199,30,10,76,0,1,0
275,350,199,40,10,76,0,1,0
275,350,199,50,10,76,0,1,0
275,350,199,60,10,76,0,1,0
275,350,199,70,10,76,0,1,0
275,350,199,80,10,76,0,1,0
275,350,199,90,10,76,0,1,0
275,350,199,100,10,76,0,1,0
275,350,199,110,10,76,0,1,0
275,350,199,120,10,76,0,1,0
275,350,199,130,10,76,0,1,0
275,350,199,140,10,76,0,1,0
275,350,199,150,10,76,0,1,0
275,350,199,160,10,76,0,1,0
275,350,199,170,10,76,0,1,0
275,350,199,180,10,76,0,1,0
275,350,199,190,10,76,0,1,0
275,350,199,200,10,76,0,1,0
275,350,199,210,10,76,0,1,0
